											sum
XONE	19.19049	9.62572	1.78361	1.75262	1.47027	0.10364	0.1033	0.07059	0.05854	0.04993	34.20871
XOOM	2.78778	0.19955	0.145	0.14165	0.04237	0.04019	0.03816	0.01997	0.01997	0.01414	3.44878
XPO	0.08574	0.07985	0.0797	0.07154	0.05418	0.03778	0.03652	0.01311	0.01193	0.01049	0.48084
YELP	5.98385	5.32825	0.5301	0.42333	0.39771	0.20596	0.13252	0.13154	0.10794	0.09991	13.34111
YHOO	7.5403	0.14334	0.08568	0.03427	0.02768	0.02284	0.00423	0.00337	0.00288	0.00235	7.86694
YNDX	10.81422	4.02128	0.43935	0.19344	0.13491	0.05021	0.04456	0.01569	0.00404	0.00094	15.71864
Z	6.79945	5.3019	1.05883	0.49704	0.34881	0.12401	0.08951	0.08946	0.04948	0.04514	14.40363
ZAYO	2.67184	0.76534	0.30764	0.18738	0.0445	0.03025	0.00752	0.00706	0.00595	0	4.02748
ZEN	4.02105	0.62349	0.23466	0.19903	0.15174	0.12246	0.10883	0.07179	0.06661	0.06529	5.66495
ZINC	0.29488	0.14718	0.1069	0.09278	0.08396	0.0436	0.00516	0	0	0	0.77446
ZLTQ	1.14817	0.17274	0.08431	0.03483	0.01212	0.00619	0.00581	0.00405	0.00132	0.00107	1.47061
ZOES	1.29426	0.61995	0.48477	0.21344	0.13916	0.09663	0.0909	0.05979	0.05752	0.04889	3.10531
	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	(Invalid Identifier)	0
